intro,score,title
"The company had posted a net profit of Rs1,619.19 crore in the corresponding quarter a year ago, REC said in a BSE filing",1,"REC net profit up 8% at Rs1,751 crore in July-September quarter"
The resulting trust deficit has had several disastrous consequences ,0,The consequences of declining trust in CEOs
"Rejecting reasons cited for not spending on CSR, MCA has told companies that they can contribute to the Prime Ministers Relief Fund to meet their targets",0,MCA pulls up companies over lack of CSR spends
"E-wallet companies like Paytm, Freecharge are using different strategies to welcome the governments decision to demonetize Rs500 and Rs1000 notes",1,"Demonetization to give major push to e-wallets, payments through UPI"
Tech Mahindra CEO CP Gurnani on bets his firm is making and why he remains confident that it will remain relevant in the face of disruptive technology,0,"By 2020, 50% of Tech Mahindras business will come from IT: CEO CP Gurnani "
"The new home loan rate is effective from 2 November, a day after ICICI Bank lowered marginal cost of funds based lending rate (MCLR) by 0.1%",0,ICICI Bank slashes home loan rate by 0.15%
Tata Chemicals said 75.67% votes polled in favour of the Tata Sons resolution to remove Nusli Wadia as an independent director at the companys EGM,0,Tata Chemicals removes Nusli Wadia as director
"Global green power rose by a record 153 gigawatts, equivalent to 55% of newly installed capacity last year",0,Green power installations beat fossil fuel for first time
"SoftBank shares rose as much as 3.9% on Wednesday partly because Son, founder of the Internet and mobile-phone giant, is staying in charge
",1,Succession lessons from Nikesh Aroras SoftBank exit
Greenko acquired SunEdisons Indian assets in October at an enterprise value of $392 million; deal required Greenko to assume project-level debt of $350 million,0,Greenko likely to raise $300 million to refinance SunEdison India debt
"The rise in output may seem problematic, for Worldsteel had predicted in April that the global demand for steel would decline by 0.8% with Chinas demand declining by 4%",0,Steel output goes up and away
"At Mints 10th Annual Banking Conclave, Indias top bankers discuss issues confronting the sector such as competition, growth and asset quality",1,Mint Annual Banking Conclave | The changing landscape of Indian banking
"Hugo Barra, who worked with Googles Android and Xiaomi, will lead virtual reality for Facebooks Oculus that was bought for about $2 billion in 2014",0,Xiaomi executive Hugo Barra to lead Facebook virtual reality efforts
"Petrol in Delhi will cost ,67.62 a litre from midnight, up ,1.17; diesel will cost ,56.41 a litre",0,Petrol price hiked by 89 paise a litre; diesel up by 86 paise
"Hindustan Media Ventures revenue rises 7.4% to ,263.3 crore from ,245.2 crore",1,Hindustan Media Ventures Q2 profit rises 20.9% to Rs54.7 crore 
"A single energy behemoth, created after the merger of oil PSUs, would have too much power over Indias energy strategy, says report",0,"Merger of oil PSUs will hurt consumers, harm Indias energy security"
"Central Bank of India s provisions against bad loans rose sharply to Rs1,161.21 crore from Rs645.44 crore last year",0,Central Bank of India posts Rs642 crore loss in Q2 as bad loans rise 
Samsung saw its mobile earnings plunge 98% from a year earlier to its lowest since the fourth quarter of 2008,0,Samsung vows mobile rebound after Q3 Galaxy Note 7 shock
"Nitin Shukla, present MD and CEO of Hazira LNG and Hazira Ports, will retire after 15 years of service on 30 September
",0,"Rahul Deep Singh named MD of Hazira LNG, Hazira Ports"
"At the 10th Mint Annual Banking Conclave, bankers discuss whether the Indian banking system is missing key opportunities in its rush to adopt technology",0,Is the banking system overlooking key challenges in its rush to go digital?
Axis Bank may sell its 8% stake in mobile payments firm Mswipe for around $20 million in a deal that is likely to value that firm at $200-250 million,0,Axis Bank in talks to sell Mswipe stake
"In less than a month after the March quarter results were announced, stocks of leading hotel chains in the country have bounced back after years of doing nothing much
",1,Appetite for hotel stocks improves
"Akash Gupta, co-founder and chief technology officer at GreyOrange, speaks about the journey of GreyOrange and its future plans
",1,A good product engine can disrupt any industry: GreyOranges Akash Gupta
"Finance ministrys FIU has asked RBI to examine all foreign investments under the automatic route after January 2015, when FDI policy for the sector was laid out",0,Govt tells RBI to examine foreign investments in medical devices sector 
"Ford to invest $195 million in the centre, which will also house the firms largest IT organization outside of its global headquarters",0,"Ford to build global tech, business centre in Chennai"
Biocon chairperson Kiran Mazumdar-Shaw says Rs460 crore insulin supply pact with Malaysian government will de-risk Biocons investment in setting up the plant there,0,Break-even or marginal loss for Biocon Malaysia next year: Kiran Mazumdar-Shaw
AI can be effectively used in a wide range of government initiatives,1,How Indias public policy can take maximum advantage of AI 
Lufthansas comments come weeks after Qatar Airways Ltd said it plans to start an airline in India with as many as 100 planes,0,Lufthansa says starting local airline in India a misadventure
"Ajit  Pai has often voted for tighter regulations, including the 2015 open internet, or net neutrality, decision that forbids internet service providers from unfairly blocking or slowing web traffic",0,Donald Trump said to tap net-neutrality foe Ajit Pai to lead FCC
The finance ministry has initiated detailed discussions with select public sector banks to assess their growth blueprint over the next three years ,1,"Finance ministry in talks with PSBs to get a fix on growth plans, funding"
"Q4 revenue of Tata Consultancy Services (TCS) rose 5.8% from the year-ago period to $4.45 billion, while Q4 profit increases 5.8% to $992 million",1,TCS misses both revenue and profit estimates in March quarter
"If Tata Global Beverages does embark on a path that promises to lower costs and grow revenues, investors would be happy to come along for the ride",1,Tata Global Beverages: in search of tea drinkers
"Railway minister Suresh Prabhu says that as part of Mission 41k, railway electrification can reduce dependence on imported fuel and rationalize energy cost",1,"Prabhu unveils 10-year energy plan for Railways to save Rs41,000 crore"
"Adani Group chairman Gautam Adani on the Australian coal mine project, plans for the solar power sector and Adani ports along Indias coastline",0,We aspire to be world leaders with our integrated pit-to-plug strategy: Adani
"The RIL stock has risen 9.5% since 2 September to Rs1,109.35 against the 0.8% decline of the S&P BSE Sensex index",0,"Reliance Industries rallies on the back of Jio, GRMs"
"Wipro is learnt to have sacked 600 employees as part of its annual performance appraisal, at a time when IT firms are facing curbs on work visas in US and Australia",0,600 Wipro employees sacked after performance appraisal: report
"Fuel retailers including Indian Oil will change petrol and diesel prices daily in Puducherry, Visakhapatnam, Udaipur, Jamshedpur and Chandigarh",0,"Petrol, diesel prices to change daily from 1 May"
"It is no secret nowthough many in the ecosystem continue to deny itthat the slowdown in Indias venture capital market is real
",0,The Flipkart markdown effect
"The agrochemical firm is likely to incur a capex of ,800-900 crore per annum for the next couple of years to expand and upgrade capacities
",0,"UPL ends FY16 well, but thrust on capex can undermine returns"
"Since Shree Cement has been expanding its footprint, a slew of brokerage houses are gung-ho on the stock, citing it to be a beneficiary of cement demand recovery",1,Is Shree Cements rich valuation warranted? 
"A higher raw material cost effect is bound to weigh on profit margins in the current and forthcoming quarters, unless price hikes and sales offset the same",0,Auto firms Q3 results: A blip in growth as demonetisation cripples sales
"Announcing the first profit in decades, MD P.M. Chandraiah said in the current year, Bengal Chemicals operating profit can be ramped up to Rs10 crore",1,Bengal Chemicals reports profit of Rs4 crore for FY2017
Ashoka Buildcons third quarter income from operations rose to Rs524 crore as against Rs443 crore from a year ago,1,Ashoka Buildcon Q3 profit doubles to Rs43 crore
"In an interview, Air India boss Ashwani Lohani talked about the Udan scheme for regional aviation, competition from IndiGo, privatization and debt issues",0,Air India wont oppose Qatar Airways bid to set up airline in India: Ashwani Lohani
"In a letter to Wipro employees, Azim Premji urged them to increase their commitment to others and find common ground rather than focussing on conflicts",0,Azim Premji tells Wipro staff 2016 has raised obstacles on path to better world  
"The transaction includes ,72,800 crore for Essar Oils refining and retail assets, and ,13,300 crore for Vadinar port and related infrastructure",0,"Essar Oil sells 98% to Rosneft, Trafigura and UCP "
Railways mobile app for unreserved tickets  now allows payments through  apps such as Paytm and MobiKwik and  print-out  of the tickets,0,"Railways mobile app for unreserved tickets to allow recharge using Paytm, MobiKwik"
Hero MotoCorps net profit in the December quarter declined to Rs772.05 crore from Rs793.23 crore in the year-ago period,1,"Hero MotoCorps Q3 profit declines, but exceeds estimates"
"The companys valuations have also been unusually high for a long time, and so the correction is welcome
",0,Why Mindtrees exaggerated correction makes sense
"Volumes in its existing business lines need to recover. Retail investors must keep this in mind as the business climate may keep meaningful upsides at bay in the near term
",0,Container Corp.s offer for sale is one for the long haul
"Hugo Barra had joined Xiaomi with an ambitious vision, but failed to predict and overcome rapid changes in the global smartphone market.",0,"Hugo Barra, in shift to Facebook, leaves behind unfinished expansion at Xiaomi"
"Videocon Industries fourth quarter total income on a standalone basis declined to Rs2,097.7 crore as against Rs3,357.5 crore",0,Videocon Industries Q4 loss widens to Rs509.7 crore
"While its true that Marutis performance has been above par in terms of revenue and profit growth, the future looks a tad uncertain, and investors should start questioning its premium valuations
",1,"Q4 results: Maruti had a good ride, but bumps ahead"
"As usual, HDFC Bank met expectations on most counts in its June quarter earnings
",0,HDFC Bank: premium for consistency
"Asian Paints faces risks of investments in new initiatives because of a sharp increase in prices of raw materials
",0,"Asian Paints Q1 results: Stellar quarter, but priced in"
"The regulator had raised GAILs KG basin pipeline tariff to ,45.3 per mBtu from a provisional tariff of ,5.6 per mBtu
",0,Tariff hike spurs GAIL stock
Hindustan Unilever expects to take more price hikes to combat the rather sharp rise in vegetable oil prices,0,HUL Q3 results: Demonetisation hurts but input costs a bigger worry
Ashok Mansukhani will replace Tony DSilva who has decided to move on after being associated with  Hinduja group for almost five years,0,Ashok Mansukhani to take over as MD & CEO of Hinduja media group
"Without a coercive enforcement mechanism, it is unlikely that the law will yield effective results",0,Why the CSR law is not a success
"Helping the stock rebound is a strong product pipeline and the belief that these new products will offset potential weakness in the business environment in the coming season
",1,Can a strong product portfolio cushion Bayer from market vagaries?
"According to a report by Motilal Oswal, only 3.5% of the money cancelled by demonetisation was not returned to the system ",0,"Demonetisation gains may be just Rs72,800 crore, says Motilal Oswal report"
"Government-led investments have raised domestic market prospects, but conviction about immediate earnings growth trajectory is low right now, say analysts",0,Capital goods: No broad based recovery in order inflows yet
"Technological advancements require govts, businesses and academic institutions to develop more educated and highly skilled workforces, say executives at Davos ",0,Impact of job-stealing robots a growing concern among global CEOs at Davos
KPMG survey results showed that many companies are still lacking in gender diversity and there needs to be a change of mindset for it,0,"Proportion of women directors up 180%, but gender diversity lags in India: Survey"
